"Got Your Love|Dirtyphonics,RIOT"
"Circuit Bent - Radioactive Man Remix|Pitch Black,Radioactive Man"
"Filtered Senses - Beam Up Remix|Pitch Black,Beam Up"
"Pixel Dust - Crises Remix|Pitch Black,Crises"
"A Great Silence Is Spreading - peak_shift Remix|Pitch Black,peak_shift"
"Without the Trees - Tom Cosm's Twitch Itch Remix|Pitch Black,Tom Cosm"
"Dub Smoke - Tripswitch Remix|Pitch Black,Tripswitch"
"Invisible Chatter - Digital Playground Remix|Pitch Black,Digital Playground"
"It's the Future Knocking - Alpha Steppa Remix|Pitch Black,Alpha Steppa"
"Frozen Bones (Radio Edit)|One Proud Monkey,Haleigh Hing"
"Magpie|One Proud Monkey,Gabrielle Flanagan"
"Cherry Hearts - RAC Mix|The Shins,RAC"
"Rhapsody in Blue (arr. B. Holman)|The Stan Kenton Orchestra,Chuck Carter"
"Intermission Riff|The Stan Kenton Orchestra,John Worster"
"Ambivalence|The Stan Kenton Orchestra,Chuck Carter"
"Intro|I Am Legion,Noisia,Foreign Beggars"
"Farrda|I Am Legion,Noisia,Foreign Beggars"
"Make Those Move - Original|I Am Legion,Noisia,Foreign Beggars"
"Upper Ratio|I Am Legion,Noisia,Foreign Beggars"
"Jelly Fish|I Am Legion,Noisia,Foreign Beggars"
"Ice|I Am Legion,Noisia,Foreign Beggars"
"Blue Shift|I Am Legion,Noisia,Foreign Beggars"
"Loose on the Leaves|I Am Legion,Noisia,Foreign Beggars"
"Choosing for You|I Am Legion,Noisia,Foreign Beggars"
"Warp Speed Thuggin'|I Am Legion,Noisia,Foreign Beggars"
"Stresses, Pt. I|I Am Legion,Noisia,Foreign Beggars"
"Stresses, Pt. II|I Am Legion,Noisia,Foreign Beggars"
"Sunken Submarine|I Am Legion,Noisia,Foreign Beggars"
"Dust Descends|I Am Legion,Noisia,Foreign Beggars,Strange U"
"Powerplay|I Am Legion,Noisia,Foreign Beggars"
"Foil - Original|I Am Legion,Noisia,Foreign Beggars,D.Ablo"
"Come Sunday|Danielle Talamantes,Henry Dehlinger"
"Imagine My Frustration|Danielle Talamantes,Henry Dehlinger"
"In a Sentimental Mood|Danielle Talamantes,Henry Dehlinger"
